2012-01-22 20:00 914.403 602.243 301.062
2012-01-22 21:00 914.794 600.432 300.106
2012-01-22 22:00 915.6 597.289 298.474
2012-01-22 23:00 916.324 593.707 296.828
2012-01-23 00:00 916.464 593.921 296.958
2012-01-23 01:00 917.544 592.633 296.217
2012-01-23 02:00 919.083 589.138 294.554
2012-01-23 03:00 918.026 591.37 295.388
2012-01-23 04:00 917.704 593.35 296.603
2012-01-23 05:00 917.324 595.59 297.859
2012-01-23 06:00 916.82 596.632 298.468
2012-01-23 07:00 916.525 598.964 299.509
2012-01-23 08:00 916.604 599.295 299.55
2012-01-23 09:00 916.836 597.971 298.825
2012-01-23 10:00 916.809 600.929 300.387
2012-01-23 11:00 916.976 603.149 301.408
2012-01-23 12:00 917.011 601.669 300.779
2012-01-23 13:00 916.751 602.849 301.224
2012-01-23 14:00 916.344 603.079 301.347
2012-01-23 15:00 915.727 604.589 302.295
2012-01-23 16:00 915.822 604.148 301.859
2012-01-23 17:00 916.102 603.619 301.742
2012-01-23 18:00 916.456 601.981 300.986
2012-01-23 19:00 916.463 602.063 301.117
2012-01-23 20:00 915.976 601.801 300.585
2012-01-23 21:00 916.176 601.774 300.673
2012-01-23 22:00 916.762 598.537 299.061
2012-01-23 23:00 917.534 596.926 298.401
2012-01-24 00:00 918.294 595.135 297.602
2012-01-24 01:00 919.099 594.594 297.049
2012-01-24 02:00 919.426 594.261 296.963
2012-01-24 03:00 919.826 594.605 297.116
2012-01-24 04:00 920.047 593.792 296.857
2012-01-24 05:00 920.127 593.331 296.751
2012-01-24 06:00 920.135 594.4 296.827
2012-01-24 07:00 920.312 594.81 297.371
2012-01-24 08:00 920.795 592.274 296.176
2012-01-24 09:00 921.306 592.128 295.899
2012-01-24 10:00 921.909 590.22 294.837
2012-01-24 11:00 922.273 593.368 296.464
2012-01-24 12:00 922.443 592.495 296.079
2012-01-24 13:00 922.395 591.873 295.837
2012-01-24 14:00 922.302 591.545 295.818
2012-01-24 15:00 922.069 591.271 295.722
2012-01-24 16:00 921.774 589.443 294.718
