1828478	412897
1828478 412897
1828474	412898
1828473	412899
1828478	412902
1828499	412903
1828505	412904
1828504	412904
1828505	412905
1828514	412906
1828512	412906
1828512	412908
1828514	412908
1828517	412908
1828530	412908
1828530	412908
1828537	412908
1828545	412911
1828546	412912
1828547	412914
1828554	412915
1828557	412915
1828558	412915
1828558	412915
1828562	412915
1828557	412915
1828557	412915
1828560	412915
1828569	412916
