# tiempo presion           Rate

24.00 919.1056305555555 714.5727777777778
24.01 919.3920083333335 709.8525
24.02 919.4163888888888 703.2908333333334
24.03 919.331425        711.7555555555556
24.04 919.2599611111111 713.7438888888889
24.05 919.3064333333334 709.705
24.06 918.609075        708.9247222222223
24.07 918.6114638888889 709.3288888888889
24.08 918.6330194444445 716.6472222222222
24.09 919.0058916666667 717.4741666666666
24.10 919.3633722222221 720.3627777777778
24.11 919.9566805555555 816.5183333333333
24.12 920.4077277777778 1531.6791666666666
24.13 920.618188888889  1701.588888888889
24.14 920.2515361111111 1584.3336111111112
24.15 920.0014277777778 1446.7852777777778
24.16 919.418363888889  1263.4358333333332
24.17 919.0774944444445 1184.5091666666667
24.18 918.8574555555555 1105.586388888889
24.19 918.8528916666667 1028.7091666666668
24.20 919.2021416666666 935.9347222222223 
24.21 919.5877222222222 833.78
24.22 920.2729027777779 742.0913888888889
24.23 920.8210305555556 711.8633333333333
25.00 921.2659611111111 709.0877777777778
25.01 921.6417527777778 706.4511111111111
25.02 921.7557388888889 705.7794444444445
25.03 922.0433027777777 708.6652777777778
25.04 922.2938083333333 702.7136111111112
25.05 922.6077194444445 705.3047222222223
25.06 922.5918000000001 706.6788888888889
25.07 922.3212333333333 702.7225
25.08 922.3961027777777 701.2155555555555
25.09 922.6527500000001 702.1197222222222
25.10 922.9743194444444 705.1486111111111
25.11 923.2609944444445 790.3819444444445
25.12 923.0809388888889 1424.1980555555556
25.13 923.0351027777779 1522.6394444444445
25.14 922.8003833333333 1466.3030555555556
25.15 922.7979861111111 1328.1033333333332
25.16 922.4554111111111 1246.2344444444445
25.17 921.8876861111112 1180.5091666666667
25.18 921.5110333333334 1110.0952777777777
25.19 921.1418166666667 988.3113888888889
25.20 921.0128166666666 873.7044444444444
25.21 921.1392611111111 817.2305555555556
25.22 921.2593916666666 735.1611111111112
25.23 921.9137888888889 704.0930555555556
26.00 922.6490583333334 706.3625
26.01 923.3816083333334 701.4436111111111
26.02 923.9880111111111 701.4588888888889
26.03 924.725413888889  700.3119444444444
26.04 925.5793611111112 703.0827777777778
26.05 926.2196833333335 705.5044444444444
26.06 926.8945111111112 703.5569444444444
26.07 927.3333555555556 698.27
26.08 928.0073166666666 698.2911111111111
26.09 928.9526277777778 693.7791666666667
26.10 929.7888194444445 696.1852777777777
26.11 930.2972194444445 798.2363888888889
26.12 930.8770722222222 1437.338611111111
26.13 931.1999972222221 1693.921388888889
26.14 931.2234611111111 1585.581388888888
26.15 931.0729805555557 1433.4016666666666
26.16 930.58565         1312.9105555555554
26.17 930.0233388888889 1165.4505555555556
26.18 929.4132222222222 1099.7519444444445
26.19 928.6785          1003.8494444444444
26.20 928.1837666666667 924.2511111111111
26.21 928.2307027777779 825.6466666666666
26.22 928.6464444444445 725.1505555555556
26.23 929.2939555555555 696.6044444444444
27.00 929.5784194444443 695.6994444444445
27.01 930.00565         686.2086111111112
27.02 930.2584055555554 684.1616666666666
27.03 930.2638388888889 689.9052777777778
27.04 930.219286111111  693.7827777777778
27.05 930.0009944444445 693.1652777777778
27.06 929.6642222222223 692.3161111111111
27.07 929.2043916666665 693.2122222222222
27.08 928.9161388888889 694.8788888888889
27.09 928.6623999999999 697.1597222222222
27.10 928.4685          700.2055555555555
27.11 928.1889055555556 806.1702777777778
27.12 928.1125083333332 1488.7888888888888
27.13 927.7266027777778 1662.7852777777778
27.14 927.1622388888889 1436.8808333333334
27.15 926.3007638888889 1261.9319444444445
27.16 925.2302527777778 1235.0644444444445
27.17 924.1887416666666 1191.6394444444445
27.18 923.0640222222222 1052.6808333333333
27.19 921.9743166666666 991.6172222222223
27.20 920.9328666666667 853.6180555555555
27.21 920.528900487126  807.8336812804454
